"TIME","GEO","UNIT","TRA_MEAS","SCHEDULE","TRA_COV","Value","Flag and Footnotes"
"2005","Portugal","Passenger","Passengers carried","Total","Total transport","20,274,653",""
"2005","Portugal","Passenger","Passengers carried (arrival)","Total","Total transport","11,799,090",""
"2005","Portugal","Passenger","Passengers carried (departures)","Total","Total transport","11,407,582",""
"2005","Romania","Passenger","Passengers on board","Total","Total transport","3,632,873",""
"2005","Romania","Passenger","Passengers on board (arrivals)","Total","Total transport","1,911,586",""
"2005","Romania","Passenger","Passengers on board (departures)","Total","Total transport","1,893,003",""
"2005","Romania","Passenger","Passengers carried","Total","Total transport","3,493,783",""
"2005","Romania","Passenger","Passengers carried (arrival)","Total","Total transport","1,844,533",""
"2005","Romania","Passenger","Passengers carried (departures)","Total","Total transport","1,817,408",""
"2005","Slovenia","Passenger","Passengers on board","Total","Total transport","1,219,091",""
"2005","Slovenia","Passenger","Passengers on board (arrivals)","Total","Total transport","611,037",""
"2005","Slovenia","Passenger","Passengers on board (departures)","Total","Total transport","608,054",""
"2005","Slovenia","Passenger","Passengers carried","Total","Total transport","1,217,167",""
"2005","Slovenia","Passenger","Passengers carried (arrival)","Total","Total transport","610,093",""
"2005","Slovenia","Passenger","Passengers carried (departures)","Total","Total transport","607,074",""
"2005","Slovakia","Passenger","Passengers on board","Total","Total transport","1,567,104",""
"2005","Slovakia","Passenger","Passengers on board (arrivals)","Total","Total transport","791,997",""
"2005","Slovakia","Passenger","Passengers on board (departures)","Total","Total transport","839,317",""
"2005","Slovakia","Passenger","Passengers carried","Total","Total transport","1,519,452",""
"2005","Slovakia","Passenger","Passengers carried (arrival)","Total","Total transport","790,151",""
"2005","Slovakia","Passenger","Passengers carried (departures)","Total","Total transport","792,827",""
"2005","Finland","Passenger","Passengers on board","Total","Total transport","12,224,597",""
"2005","Finland","Passenger","Passengers on board (arrivals)","Total","Total transport","7,518,709",""
"2005","Finland","Passenger","Passengers on board (departures)","Total","Total transport","7,537,212",""
"2005","Finland","Passenger","Passengers carried","Total","Total transport","12,348,113",""
"2005","Finland","Passenger","Passengers carried (arrival)","Total","Total transport","7,565,768",""
"2005","Finland","Passenger","Passengers carried (departures)","Total","Total transport","7,601,587",""
"2005","Sweden","Passenger","Passengers on board","Total","Total transport","22,898,729",""
"2005","Sweden","Passenger","Passengers on board (arrivals)","Total","Total transport","14,727,793",""
"2005","Sweden","Passenger","Passengers on board (departures)","Total","Total transport","14,753,462",""
"2005","Sweden","Passenger","Passengers carried","Total","Total transport","20,997,169",""
"2005","Sweden","Passenger","Passengers carried (arrival)","Total","Total transport","11,526,006",""
"2005","Sweden","Passenger","Passengers carried (departures)","Total","Total transport","11,532,816",""
"2005","United Kingdom","Passenger","Passengers on board","Total","Total transport","205,406,514",""
"2005","United Kingdom","Passenger","Passengers on board (arrivals)","Total","Total transport","114,548,519",""
"2005","United Kingdom","Passenger","Passengers on board (departures)","Total","Total transport","114,293,071",""
"2005","United Kingdom","Passenger","Passengers carried","Total","Total transport","204,022,904",""
"2005","United Kingdom","Passenger","Passengers carried (arrival)","Total","Total transport","113,609,088",""
"2005","United Kingdom","Passenger","Passengers carried (departures)","Total","Total transport","113,370,341",""
"2005","Iceland","Passenger","Passengers on board","Total","Total transport","2,111,096",""
"2005","Iceland","Passenger","Passengers on board (arrivals)","Total","Total transport","1,051,678",""
"2005","Iceland","Passenger","Passengers on board (departures)","Total","Total transport","1,059,418",""
"2005","Iceland","Passenger","Passengers carried","Total","Total transport","2,111,100",""
"2005","Iceland","Passenger","Passengers carried (arrival)","Total","Total transport","1,051,682",""
"2005","Iceland","Passenger","Passengers carried (departures)","Total","Total transport","1,059,418",""
"2005","Norway","Passenger","Passengers on board","Total","Total transport","23,157,807",""
"2005","Norway","Passenger","Passengers on board (arrivals)","Total","Total transport","16,527,242",""
"2005","Norway","Passenger","Passengers on board (departures)","Total","Total transport","17,570,731",""
"2005","Norway","Passenger","Passengers carried","Total","Total transport","18,578,950",""
"2005","Norway","Passenger","Passengers carried (arrival)","Total","Total transport","14,116,834",""
"2005","Norway","Passenger","Passengers carried (departures)","Total","Total transport","14,595,789",""
"2005","Switzerland","Passenger","Passengers on board","Total","Total transport","29,195,461",""
"2005","Switzerland","Passenger","Passengers on board (arrivals)","Total","Total transport","15,014,754",""
"2005","Switzerland","Passenger","Passengers on board (departures)","Total","Total transport","14,951,222",""
"2005","Switzerland","Passenger","Passengers carried","Total","Total transport","28,876,325",""
"2005","Switzerland","Passenger","Passengers carried (arrival)","Total","Total transport","14,841,860",""
"2005","Switzerland","Passenger","Passengers carried (departures)","Total","Total transport","14,789,555",""
"2006","European Union - 28 countries","Passenger","Passengers on board","Total","Total transport",":",""
"2006","European Union - 28 countries","Passenger","Passengers on board (arrivals)","Total","Total transport",":",""
"2006","European Union - 28 countries","Passenger","Passengers on board (departures)","Total","Total transport",":",""
"2006","European Union - 28 countries","Passenger","Passengers carried","Total","Total transport",":",""
"2006","European Union - 28 countries","Passenger","Passengers carried (arrival)","Total","Total transport",":",""
"2006","European Union - 28 countries","Passenger","Passengers carried (departures)","Total","Total transport",":",""
"2006","European Union - 27 countries (2007-2013)","Passenger","Passengers on board","Total","Total transport",":",""
"2006","European Union - 27 countries (2007-2013)","Passenger","Passengers on board (arrivals)","Total","Total transport",":",""
"2006","European Union - 27 countries (2007-2013)","Passenger","Passengers on board (departures)","Total","Total transport",":",""
"2006","European Union - 27 countries (2007-2013)","Passenger","Passengers carried","Total","Total transport",":",""
"2006","European Union - 27 countries (2007-2013)","Passenger","Passengers carried (arrival)","Total","Total transport",":",""
"2006","European Union - 27 countries (2007-2013)","Passenger","Passengers carried (departures)","Total","Total transport",":",""
"2006","Belgium","Passenger","Passengers on board","Total","Total transport","19,292,959",""
"2006","Belgium","Passenger","Passengers on board (arrivals)","Total","Total transport","9,588,340",""
"2006","Belgium","Passenger","Passengers on board (departures)","Total","Total transport","9,720,195",""
"2006","Belgium","Passenger","Passengers carried","Total","Total transport","19,154,673",""
"2006","Belgium","Passenger","Passengers carried (arrival)","Total","Total transport","9,521,363",""
"2006","Belgium","Passenger","Passengers carried (departures)","Total","Total transport","9,642,969",""
"2006","Czechia","Passenger","Passengers on board","Total","Total transport","12,329,375",""
"2006","Czechia","Passenger","Passengers on board (arrivals)","Total","Total transport","6,157,814",""
"2006","Czechia","Passenger","Passengers on board (departures)","Total","Total transport","6,171,561",""
"2006","Czechia","Passenger","Passengers carried","Total","Total transport","12,171,235",""
"2006","Czechia","Passenger","Passengers carried (arrival)","Total","Total transport","6,078,744",""
"2006","Czechia","Passenger","Passengers carried (departures)","Total","Total transport","6,092,491",""
"2006","Denmark","Passenger","Passengers on board","Total","Total transport","23,183,947",""
"2006","Denmark","Passenger","Passengers on board (arrivals)","Total","Total transport","12,362,932",""
"2006","Denmark","Passenger","Passengers on board (departures)","Total","Total transport","12,416,930",""
"2006","Denmark","Passenger","Passengers carried","Total","Total transport","22,967,560",""
"2006","Denmark","Passenger","Passengers carried (arrival)","Total","Total transport","12,243,780",""
"2006","Denmark","Passenger","Passengers carried (departures)","Total","Total transport","12,291,194",""
"2006","Germany (until 1990 former territory of the FRG)","Passenger","Passengers on board","Total","Total transport","156,254,424",""
"2006","Germany (until 1990 former territory of the FRG)","Passenger","Passengers on board (arrivals)","Total","Total transport","89,975,347",""
"2006","Germany (until 1990 former territory of the FRG)","Passenger","Passengers on board (departures)","Total","Total transport","89,646,485",""
"2006","Germany (until 1990 former territory of the FRG)","Passenger","Passengers carried","Total","Total transport","154,090,077",""
"2006","Germany (until 1990 former territory of the FRG)","Passenger","Passengers carried (arrival)","Total","Total transport","88,434,685",""
"2006","Germany (until 1990 former territory of the FRG)","Passenger","Passengers carried (departures)","Total","Total transport","88,422,824",""
"2006","Estonia","Passenger","Passengers on board","Total","Total transport","1,533,706",""
"2006","Estonia","Passenger","Passengers on board (arrivals)","Total","Total transport","753,525",""
"2006","Estonia","Passenger","Passengers on board (departures)","Total","Total transport","780,181",""
"2006","Estonia","Passenger","Passengers carried","Total","Total transport","1,533,132",""
"2006","Estonia","Passenger","Passengers carried (arrival)","Total","Total transport","752,951",""
"2006","Estonia","Passenger","Passengers carried (departures)","Total","Total transport","780,181",""
"2006","Ireland","Passenger","Passengers on board","Total","Total transport","28,052,624",""
"2006","Ireland","Passenger","Passengers on board (arrivals)","Total","Total transport","14,618,654",""
"2006","Ireland","Passenger","Passengers on board (departures)","Total","Total transport","14,608,386",""
"2006","Ireland","Passenger","Passengers carried","Total","Total transport","27,558,133",""
"2006","Ireland","Passenger","Passengers carried (arrival)","Total","Total transport","14,146,352",""
"2006","Ireland","Passenger","Passengers carried (departures)","Total","Total transport","14,136,504",""
"2006","Greece","Passenger","Passengers on board","Total","Total transport","32,751,450",""
"2006","Greece","Passenger","Passengers on board (arrivals)","Total","Total transport","19,265,429",""
"2006","Greece","Passenger","Passengers on board (departures)","Total","Total transport","19,454,197",""
"2006","Greece","Passenger","Passengers carried","Total","Total transport","32,762,340",""
"2006","Greece","Passenger","Passengers carried (arrival)","Total","Total transport","19,265,194",""
"2006","Greece","Passenger","Passengers carried (departures)","Total","Total transport","19,454,432",""
"2006","Spain","Passenger","Passengers on board","Total","Total transport","147,962,322",""
"2006","Spain","Passenger","Passengers on board (arrivals)","Total","Total transport","94,741,089",""
"2006","Spain","Passenger","Passengers on board (departures)","Total","Total transport","94,117,241",""
"2006","Spain","Passenger","Passengers carried","Total","Total transport","150,599,291",""
"2006","Spain","Passenger","Passengers carried (arrival)","Total","Total transport","95,252,531",""
"2006","Spain","Passenger","Passengers carried (departures)","Total","Total transport","95,413,702",""
"2006","France","Passenger","Passengers on board","Total","Total transport","113,182,776",""
"2006","France","Passenger","Passengers on board (arrivals)","Total","Total transport","69,915,623",""
"2006","France","Passenger","Passengers on board (departures)","Total","Total transport","70,110,354",""
"2006","France","Passenger","Passengers carried","Total","Total transport","113,189,378",""
"2006","France","Passenger","Passengers carried (arrival)","Total","Total transport","69,915,623",""
"2006","France","Passenger","Passengers carried (departures)","Total","Total transport","70,110,354",""
"2006","Italy","Passenger","Passengers on board","Total","Total transport","97,919,578",""
"2006","Italy","Passenger","Passengers on board (arrivals)","Total","Total transport","61,478,247",""
"2006","Italy","Passenger","Passengers on board (departures)","Total","Total transport","61,779,519",""
"2006","Italy","Passenger","Passengers carried","Total","Total transport","95,914,382",""
"2006","Italy","Passenger","Passengers carried (arrival)","Total","Total transport","60,208,345",""
"2006","Italy","Passenger","Passengers carried (departures)","Total","Total transport","60,516,224",""
"2006","Cyprus","Passenger","Passengers on board","Total","Total transport","7,034,865",""
"2006","Cyprus","Passenger","Passengers on board (arrivals)","Total","Total transport","3,537,708",""
"2006","Cyprus","Passenger","Passengers on board (departures)","Total","Total transport","3,587,142",""
"2006","Cyprus","Passenger","Passengers carried","Total","Total transport","6,714,102",""
"2006","Cyprus","Passenger","Passengers carried (arrival)","Total","Total transport","3,332,080",""
"2006","Cyprus","Passenger","Passengers carried (departures)","Total","Total transport","3,382,244",""
"2006","Latvia","Passenger","Passengers on board","Total","Total transport","2,502,291",""
"2006","Latvia","Passenger","Passengers on board (arrivals)","Total","Total transport","1,238,789",""
"2006","Latvia","Passenger","Passengers on board (departures)","Total","Total transport","1,263,506",""
"2006","Latvia","Passenger","Passengers carried","Total","Total transport","2,488,065",""
"2006","Latvia","Passenger","Passengers carried (arrival)","Total","Total transport","1,238,789",""
"2006","Latvia","Passenger","Passengers carried (departures)","Total","Total transport","1,249,280",""
"2006","Lithuania","Passenger","Passengers on board","Total","Total transport","1,804,763",""
"2006","Lithuania","Passenger","Passengers on board (arrivals)","Total","Total transport","898,152",""
"2006","Lithuania","Passenger","Passengers on board (departures)","Total","Total transport","910,919",""
"2006","Lithuania","Passenger","Passengers carried","Total","Total transport","1,799,195",""
"2006","Lithuania","Passenger","Passengers carried (arrival)","Total","Total transport","893,534",""
"2006","Lithuania","Passenger","Passengers carried (departures)","Total","Total transport","906,301",""
"2006","Luxembourg","Passenger","Passengers on board","Total","Total transport","1,597,404",""
"2006","Luxembourg","Passenger","Passengers on board (arrivals)","Total","Total transport","794,292",""
"2006","Luxembourg","Passenger","Passengers on board (departures)","Total","Total transport","803,112",""
"2006","Luxembourg","Passenger","Passengers carried","Total","Total transport","1,597,404",""
"2006","Luxembourg","Passenger","Passengers carried (arrival)","Total","Total transport","794,292",""
"2006","Luxembourg","Passenger","Passengers carried (departures)","Total","Total transport","803,112",""
"2006","Hungary","Passenger","Passengers on board","Total","Total transport","8,245,920",""
"2006","Hungary","Passenger","Passengers on board (arrivals)","Total","Total transport","4,060,285",""
"2006","Hungary","Passenger","Passengers on board (departures)","Total","Total transport","4,185,635",""
"2006","Hungary","Passenger","Passengers carried","Total","Total transport","8,245,920",""
"2006","Hungary","Passenger","Passengers carried (arrival)","Total","Total transport","4,060,285",""
"2006","Hungary","Passenger","Passengers carried (departures)","Total","Total transport","4,185,635",""
"2006","Malta","Passenger","Passengers on board","Total","Total transport","2,699,870",""
"2006","Malta","Passenger","Passengers on board (arrivals)","Total","Total transport","1,350,310",""
"2006","Malta","Passenger","Passengers on board (departures)","Total","Total transport","1,349,560",""
"2006","Malta","Passenger","Passengers carried","Total","Total transport","2,699,870",""
"2006","Malta","Passenger","Passengers carried (arrival)","Total","Total transport","1,350,310",""
"2006","Malta","Passenger","Passengers carried (departures)","Total","Total transport","1,349,560",""
"2006","Netherlands","Passenger","Passengers on board","Total","Total transport","48,898,834",""
"2006","Netherlands","Passenger","Passengers on board (arrivals)","Total","Total transport","24,374,636",""
"2006","Netherlands","Passenger","Passengers on board (departures)","Total","Total transport","24,582,069",""
"2006","Netherlands","Passenger","Passengers carried","Total","Total transport","48,584,873",""
"2006","Netherlands","Passenger","Passengers carried (arrival)","Total","Total transport","24,211,404",""
"2006","Netherlands","Passenger","Passengers carried (departures)","Total","Total transport","24,418,520",""
"2006","Austria","Passenger","Passengers on board","Total","Total transport","21,006,752",""
"2006","Austria","Passenger","Passengers on board (arrivals)","Total","Total transport","10,864,229",""
"2006","Austria","Passenger","Passengers on board (departures)","Total","Total transport","10,884,123",""
"2006","Austria","Passenger","Passengers carried","Total","Total transport","20,824,533",""
"2006","Austria","Passenger","Passengers carried (arrival)","Total","Total transport","10,705,905",""
"2006","Austria","Passenger","Passengers carried (departures)","Total","Total transport","10,727,660",""
"2006","Poland","Passenger","Passengers on board","Total","Total transport","13,546,393",""
"2006","Poland","Passenger","Passengers on board (arrivals)","Total","Total transport","7,015,205",""
"2006","Poland","Passenger","Passengers on board (departures)","Total","Total transport","7,180,968",""
"2006","Poland","Passenger","Passengers carried","Total","Total transport","13,737,803",""
"2006","Poland","Passenger","Passengers carried (arrival)","Total","Total transport","7,149,166",""
"2006","Poland","Passenger","Passengers carried (departures)","Total","Total transport","7,306,732",""
"2006","Portugal","Passenger","Passengers on board","Total","Total transport","21,495,387",""
"2006","Portugal","Passenger","Passengers on board (arrivals)","Total","Total transport","12,172,449",""
"2006","Portugal","Passenger","Passengers on board (departures)","Total","Total transport","11,732,269",""
"2006","Portugal","Passenger","Passengers carried","Total","Total transport","22,028,195",""
"2006","Portugal","Passenger","Passengers carried (arrival)","Total","Total transport","12,587,995",""
"2006","Portugal","Passenger","Passengers carried (departures)","Total","Total transport","12,246,943",""
"2006","Romania","Passenger","Passengers on board","Total","Total transport","4,936,147",""
"2006","Romania","Passenger","Passengers on board (arrivals)","Total","Total transport","2,593,628",""
"2006","Romania","Passenger","Passengers on board (departures)","Total","Total transport","2,615,404",""
"2006","Romania","Passenger","Passengers carried","Total","Total transport","4,900,134",""
"2006","Romania","Passenger","Passengers carried (arrival)","Total","Total transport","2,568,741",""
"2006","Romania","Passenger","Passengers carried (departures)","Total","Total transport","2,576,871",""
"2006","Slovenia","Passenger","Passengers on board","Total","Total transport","1,329,968",""
"2006","Slovenia","Passenger","Passengers on board (arrivals)","Total","Total transport","665,209",""
"2006","Slovenia","Passenger","Passengers on board (departures)","Total","Total transport","664,807",""
"2006","Slovenia","Passenger","Passengers carried","Total","Total transport","1,327,333",""
"2006","Slovenia","Passenger","Passengers carried (arrival)","Total","Total transport","663,397",""
"2006","Slovenia","Passenger","Passengers carried (departures)","Total","Total transport","663,936",""
"2006","Slovakia","Passenger","Passengers on board","Total","Total transport","2,153,021",""
"2006","Slovakia","Passenger","Passengers on board (arrivals)","Total","Total transport","1,113,601",""
"2006","Slovakia","Passenger","Passengers on board (departures)","Total","Total transport","1,155,030",""
"2006","Slovakia","Passenger","Passengers carried","Total","Total transport","2,124,447",""
"2006","Slovakia","Passenger","Passengers carried (arrival)","Total","Total transport","1,112,628",""
"2006","Slovakia","Passenger","Passengers carried (departures)","Total","Total transport","1,127,419",""
"2006","Finland","Passenger","Passengers on board","Total","Total transport","13,330,115",""
"2006","Finland","Passenger","Passengers on board (arrivals)","Total","Total transport","8,082,710",""
"2006","Finland","Passenger","Passengers on board (departures)","Total","Total transport","8,167,175",""
