"TIME","GEO","UNIT","TRA_MEAS","SCHEDULE","TRA_COV","Value","Flag and Footnotes"
"2008","Norway","Flight","Commercial passenger air flights","Total","Total transport","435,608",""
"2008","Switzerland","Flight","Commercial passenger air flights","Total","Total transport","399,892",""
"2009","European Union - 28 countries","Flight","Commercial passenger air flights","Total","Total transport","7,814,913",""
"2009","European Union - 27 countries (2007-2013)","Flight","Commercial passenger air flights","Total","Total transport","7,789,961",""
"2009","Belgium","Flight","Commercial passenger air flights","Total","Total transport","264,802",""
"2009","Czechia","Flight","Commercial passenger air flights","Total","Total transport","168,272",""
"2009","Denmark","Flight","Commercial passenger air flights","Total","Total transport","271,412",""
"2009","Germany (until 1990 former territory of the FRG)","Flight","Commercial passenger air flights","Total","Total transport","1,620,189",""
"2009","Estonia","Flight","Commercial passenger air flights","Total","Total transport","23,827",""
"2009","Ireland","Flight","Commercial passenger air flights","Total","Total transport","215,840",""
"2009","Greece","Flight","Commercial passenger air flights","Total","Total transport","327,078",""
"2009","Spain","Flight","Commercial passenger air flights","Total","Total transport","1,274,588",""
"2009","France","Flight","Commercial passenger air flights","Total","Total transport","1,316,105",""
"2009","Italy","Flight","Commercial passenger air flights","Total","Total transport","1,014,160",""
"2009","Cyprus","Flight","Commercial passenger air flights","Total","Total transport","61,986",""
"2009","Latvia","Flight","Commercial passenger air flights","Total","Total transport","57,232",""
"2009","Lithuania","Flight","Commercial passenger air flights","Total","Total transport","26,010",""
"2009","Luxembourg","Flight","Commercial passenger air flights","Total","Total transport","35,558",""
"2009","Hungary","Flight","Commercial passenger air flights","Total","Total transport","98,715",""
"2009","Malta","Flight","Commercial passenger air flights","Total","Total transport","26,625",""
"2009","Netherlands","Flight","Commercial passenger air flights","Total","Total transport","417,519",""
"2009","Austria","Flight","Commercial passenger air flights","Total","Total transport","287,432",""
"2009","Poland","Flight","Commercial passenger air flights","Total","Total transport","214,807",""
"2009","Portugal","Flight","Commercial passenger air flights","Total","Total transport","226,834",""
"2009","Romania","Flight","Commercial passenger air flights","Total","Total transport","115,694",""
"2009","Slovenia","Flight","Commercial passenger air flights","Total","Total transport","30,234",""
"2009","Slovakia","Flight","Commercial passenger air flights","Total","Total transport","24,725",""
"2009","Finland","Flight","Commercial passenger air flights","Total","Total transport","181,852",""
"2009","Sweden","Flight","Commercial passenger air flights","Total","Total transport","301,334",""
"2009","United Kingdom","Flight","Commercial passenger air flights","Total","Total transport","1,752,281",""
"2009","Iceland","Flight","Commercial passenger air flights","Total","Total transport","15,066",""
"2009","Norway","Flight","Commercial passenger air flights","Total","Total transport","379,302",""
"2009","Switzerland","Flight","Commercial passenger air flights","Total","Total transport","379,773",""
"2010","European Union - 28 countries","Flight","Commercial passenger air flights","Total","Total transport","7,716,951",""
"2010","European Union - 27 countries (2007-2013)","Flight","Commercial passenger air flights","Total","Total transport","7,693,429",""
"2010","Belgium","Flight","Commercial passenger air flights","Total","Total transport","266,644",""
"2010","Czechia","Flight","Commercial passenger air flights","Total","Total transport","158,323",""
"2010","Denmark","Flight","Commercial passenger air flights","Total","Total transport","285,365",""
"2010","Germany (until 1990 former territory of the FRG)","Flight","Commercial passenger air flights","Total","Total transport","1,618,788",""
"2010","Estonia","Flight","Commercial passenger air flights","Total","Total transport","24,751",""
"2010","Ireland","Flight","Commercial passenger air flights","Total","Total transport","195,034",""
"2010","Greece","Flight","Commercial passenger air flights","Total","Total transport","309,262",""
"2010","Spain","Flight","Commercial passenger air flights","Total","Total transport","1,282,584",""
"2010","France","Flight","Commercial passenger air flights","Total","Total transport","1,187,864",""
"2010","Italy","Flight","Commercial passenger air flights","Total","Total transport","1,042,893",""
"2010","Cyprus","Flight","Commercial passenger air flights","Total","Total transport","59,881",""
"2010","Latvia","Flight","Commercial passenger air flights","Total","Total transport","66,025",""
"2010","Lithuania","Flight","Commercial passenger air flights","Total","Total transport","31,739",""
"2010","Luxembourg","Flight","Commercial passenger air flights","Total","Total transport","35,550",""
"2010","Hungary","Flight","Commercial passenger air flights","Total","Total transport","93,752",""
"2010","Malta","Flight","Commercial passenger air flights","Total","Total transport","28,990",""
"2010","Netherlands","Flight","Commercial passenger air flights","Total","Total transport","413,355",""
"2010","Austria","Flight","Commercial passenger air flights","Total","Total transport","289,122",""
"2010","Poland","Flight","Commercial passenger air flights","Total","Total transport","221,405",""
"2010","Portugal","Flight","Commercial passenger air flights","Total","Total transport","237,344",""
"2010","Romania","Flight","Commercial passenger air flights","Total","Total transport","119,207",""
"2010","Slovenia","Flight","Commercial passenger air flights","Total","Total transport","26,643",""
"2010","Slovakia","Flight","Commercial passenger air flights","Total","Total transport","21,976",""
"2010","Finland","Flight","Commercial passenger air flights","Total","Total transport","185,386",""
"2010","Sweden","Flight","Commercial passenger air flights","Total","Total transport","306,312",""
"2010","United Kingdom","Flight","Commercial passenger air flights","Total","Total transport","1,658,508",""
"2010","Iceland","Flight","Commercial passenger air flights","Total","Total transport","15,379",""
"2010","Norway","Flight","Commercial passenger air flights","Total","Total transport","388,933",""
"2010","Switzerland","Flight","Commercial passenger air flights","Total","Total transport","385,574",""
"2011","European Union - 28 countries","Flight","Commercial passenger air flights","Total","Total transport","8,006,364",""
"2011","European Union - 27 countries (2007-2013)","Flight","Commercial passenger air flights","Total","Total transport","7,984,054",""
"2011","Belgium","Flight","Commercial passenger air flights","Total","Total transport","283,199",""
"2011","Czechia","Flight","Commercial passenger air flights","Total","Total transport","152,752",""
"2011","Denmark","Flight","Commercial passenger air flights","Total","Total transport","295,975",""
"2011","Germany (until 1990 former territory of the FRG)","Flight","Commercial passenger air flights","Total","Total transport","1,746,193",""
"2011","Estonia","Flight","Commercial passenger air flights","Total","Total transport","30,497",""
"2011","Ireland","Flight","Commercial passenger air flights","Total","Total transport","197,140",""
"2011","Greece","Flight","Commercial passenger air flights","Total","Total transport","307,451",""
"2011","Spain","Flight","Commercial passenger air flights","Total","Total transport","1,339,509",""
